kanji	on'yomi	kun'yomi	meaning	practice_data
井	セイ、ショウ	い	well	[0_0_0_0_0_0_NEW]
亜	ア		Asia, rank next, come after, -ous	[0_0_0_0_0_0_NEW]
亡	ボウ、モウ	な・い	deceased, the late, dying, perish	[0_0_0_0_0_0_NEW]
交	コウ	まじ・わる、まじ・える、ま・じる、ま・ざる、ま・ぜ	mingle, mixing, association, coming & going	[0_0_0_0_0_0_NEW]
享	キョウ		receive, undergo, answer (phone), take, get, catch	[0_0_0_0_0_0_NEW]
京	キョウ、ケイ		capital, 10**16	[0_0_0_0_0_0_NEW]
亭	テイ		pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name	[0_0_0_0_0_0_NEW]
人	ジン、ニン	ひと	person	[0_0_0_0_0_0_NEW]
仁	ジン、ニ		humanity, virtue, benevolence, charity, man, kernel	[0_0_0_0_0_0_NEW]
今	コン、キン	いま	now	[0_0_0_0_0_0_NEW]
介	カイ		jammed in, shellfish, mediate, concern oneself with	[0_0_0_0_0_0_NEW]
仏	ブツ	ほとけ	Buddha, the dead, France	[0_0_0_0_0_0_NEW]
仕	シ、ジ	つか・える	attend, doing, official, serve	[0_0_0_0_0_0_NEW]
ä»–	ã'¿		other, another, the others	[0_0_0_0_0_0_NEW]
付	フ	つ・ける、つ・く	adhere, attach, refer to, append	[0_0_0_0_0_0_NEW]
仙	セン		hermit, wizard, cent	[0_0_0_0_0_0_NEW]
代	ダイ、タイ	か・わる、か・える、よ、しろ	substitute, change, convert, replace, period, age, generation, charge, rate, fee	[0_0_0_0_0_0_NEW]
令	レイ		orders, ancient laws, command, decree	[0_0_0_0_0_0_NEW]
以	イ		by means of, because, in view of, compared with	[0_0_0_0_0_0_NEW]
仮	カ、ケ	かり	sham, temporary, interim, assumed (name), informal	[0_0_0_0_0_0_NEW]
仰	ギョウ、コウ	あお・ぐ、おお・せ	face-up, look up, depend, seek, respect, rever, drink, take	[0_0_0_0_0_0_NEW]
仲	チュウ	なか	go-between, relationship	[0_0_0_0_0_0_NEW]
件	ケン		affair, case, matter, item	[0_0_0_0_0_0_NEW]
任	ニン	まか・せる、まか・す	responsibility, duty, term, entrust to, appoint	[0_0_0_0_0_0_NEW]
企	キ	くわだ・てる	undertake, scheme, design, attempt, plan	[0_0_0_0_0_0_NEW]
伏	フク	ふ・せる、ふ・す	prostrated, bend down, bow, cover, lay (pipes)	[0_0_0_0_0_0_NEW]
伐	バツ	き・る	fell, strike, attack, punish	[0_0_0_0_0_0_NEW]
休	キュウ	やす・む、やす・まる、やす・める	rest, day off, retire, sleep	[0_0_0_0_0_0_NEW]
会	カイ、エ	あ・う	meeting, meet, party, association, interview, join	[0_0_0_0_0_0_NEW]
伝	デン	つた・わる、つた・える、つた・う	transmit, go along, walk along, follow, report, communicate, legend, tradition	[0_0_0_0_0_0_NEW]
伯	ハク		chief, count, earl, uncle, Brazil	[0_0_0_0_0_0_NEW]
伴	ハン、バン	ともな・う	consort, accompany, bring with, companion	[0_0_0_0_0_0_NEW]
伸	シン	の・びる、の・ばす	expand, stretch, extend, lengthen, increase	[0_0_0_0_0_0_NEW]
伺	シ	うかが・う	pay respects, visit, ask, inquire, question, implore	[0_0_0_0_0_0_NEW]
似	ジ	に・る	becoming, resemble, counterfeit, imitate, suitable	[0_0_0_0_0_0_NEW]
但		ただ・し	however, but	[0_0_0_0_0_0_NEW]
位	イ	くらい	rank, grade, throne, crown, about, some	[0_0_0_0_0_0_NEW]
低	テイ	ひく・い、ひく・める、ひく・まる	lower, short, humble	[0_0_0_0_0_0_NEW]
住	ジュウ	す・む、す・まう	dwell, reside, live, inhabit	[0_0_0_0_0_0_NEW]
佐	サ		assistant, help	[0_0_0_0_0_0_NEW]
体	タイ、テイ	からだ	body, substance, object, reality	[0_0_0_0_0_0_NEW]
何	カ	なに、なん	what	[0_0_0_0_0_0_NEW]
余	ヨ	あま・る、あま・す	too much, myself, surplus, other, remainder	[0_0_0_0_0_0_NEW]
作	サク、サ	つく・る	make, production, prepare, build	[0_0_0_0_0_0_NEW]
ä½³	ã'«		excellent, beautiful, good, pleasing, skilled	[0_0_0_0_0_0_NEW]
併	ヘイ	あわ・せる	join, get together, unite, collective	[0_0_0_0_0_0_NEW]
使	シ	つか・う	use	[0_0_0_0_0_0_NEW]
例	レイ	たと・える	example, custom, usage, precedent	[0_0_0_0_0_0_NEW]
侍	ジ	さむらい	waiter, samurai, wait upon, serve	[0_0_0_0_0_0_NEW]
供	キョウ、ク	そな・える、とも	submit, offer, present, serve (meal), accompany	[0_0_0_0_0_0_NEW]
依	イ、エ		reliant, depend on, consequently, therefore, due to	[0_0_0_0_0_0_NEW]
価	カ	あたい	value, price	[0_0_0_0_0_0_NEW]
侮	ブ	あなど・る	scorn, despise, make light of, contempt	[0_0_0_0_0_0_NEW]
侯	コウ		marquis, lord, daimyo	[0_0_0_0_0_0_NEW]
侵	シン	おか・す	encroach, invade, raid, trespass, violate	[0_0_0_0_0_0_NEW]
便	ベン、ビン	たよ・り	convenience	[0_0_0_0_0_0_NEW]
係	ケイ	かか・る、かかり	person in charge, connection, duty, concern oneself	[0_0_0_0_0_0_NEW]
促	ソク	うなが・す	stimulate, urge, press, demand, incite	[0_0_0_0_0_0_NEW]
俊	シュン		sagacious, genius, excellence	[0_0_0_0_0_0_NEW]
俗	ゾク		vulgar, customs, manners, worldliness, mundane things	[0_0_0_0_0_0_NEW]
保	ホ	たも・つ	protect, guarantee, keep, preserve, sustain, support	[0_0_0_0_0_0_NEW]
信	シン		faith, truth, fidelity, trust	[0_0_0_0_0_0_NEW]
修	シュウ、シュ	おさ・める、おさ・まる	discipline, conduct oneself well, study, master	[0_0_0_0_0_0_NEW]
俳	ハイ		haiku, actor	[0_0_0_0_0_0_NEW]
俵	ヒョウ	たわら	bag, bale, sack	[0_0_0_0_0_0_NEW]
俸	ホウ		stipend, salary	[0_0_0_0_0_0_NEW]
倉	ソウ	くら	godown, warehouse, storehouse, cellar, treasury	[0_0_0_0_0_0_NEW]
個	コ		individual, no. of articles	[0_0_0_0_0_0_NEW]
倍	バイ		double, twice, times, fold	[0_0_0_0_0_0_NEW]
倒	トウ	たお・れる、たお・す	overthrow, fall, collapse, drop, break down	[0_0_0_0_0_0_NEW]
候	コウ	そうろう	climate, season, weather	[0_0_0_0_0_0_NEW]
借	シャク	か・りる	borrow, rent	[0_0_0_0_0_0_NEW]
倣	ホウ	なら・う	emulate, imitate	[0_0_0_0_0_0_NEW]
値	チ	ね、あたい	price, cost, value	[0_0_0_0_0_0_NEW]
倫	リン		ethics, companion	[0_0_0_0_0_0_NEW]
倹	ケン		frugal, economy, thrifty	[0_0_0_0_0_0_NEW]
偉	イ	えら・い	admirable, greatness, remarkable, conceited, famous, excellent	[0_0_0_0_0_0_NEW]
偏	ヘン	かたよ・る	partial, side, left-side radical, inclining, biased	[0_0_0_0_0_0_NEW]
停	テイ		halt, stopping	[0_0_0_0_0_0_NEW]
健	ケン	すこ・やか	healthy, health, strength, persistence	[0_0_0_0_0_0_NEW]
側	ソク	かわ	side, lean, oppose, regret	[0_0_0_0_0_0_NEW]
偵	テイ		spy	[0_0_0_0_0_0_NEW]
偶	グウ		accidentally, even number, couple, man & wife, same kind	[0_0_0_0_0_0_NEW]
偽	ギ	いつわ・る、にせ	falsehood, lie, deceive, pretend, counterfeit, forgery	[0_0_0_0_0_0_NEW]
傍	ボウ	かたわ・ら	bystander, side, besides, while, nearby, 3rd person	[0_0_0_0_0_0_NEW]
傑	ケツ		greatness, excellence	[0_0_0_0_0_0_NEW]
傘	サン	かさ	umbrella	[0_0_0_0_0_0_NEW]
備	ビ	そな・える、そな・わる	equip, provision, preparation	[0_0_0_0_0_0_NEW]
催	サイ	もよお・す	sponsor, hold (a meeting), give (a dinner)	[0_0_0_0_0_0_NEW]
債	サイ		bond, loan, debt	[0_0_0_0_0_0_NEW]
傷	ショウ	きず、いた・む、いた・める	wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point	[0_0_0_0_0_0_NEW]
傾	ケイ	かたむ・く、かたむ・ける	lean, incline, tilt, trend, wane, sink, ruin, bias	[0_0_0_0_0_0_NEW]
働	ドウ	はたら・く	to work	[0_0_0_0_0_0_NEW]
像	ゾウ		statue, picture, image, figure, portrait	[0_0_0_0_0_0_NEW]
僕	ボク		me, I (male)	[0_0_0_0_0_0_NEW]
僚	リョウ		colleague, official, companion	[0_0_0_0_0_0_NEW]
僧	ソウ		Buddhist priest, monk	[0_0_0_0_0_0_NEW]
å"€	ã'®		ceremony, rule, affair, case, a matter	[0_0_0_0_0_0_NEW]
億	オク		hundred million, 10**8	[0_0_0_0_0_0_NEW]
儒	ジュ		Confucian	[0_0_0_0_0_0_NEW]
償	ショウ	つぐな・う	reparation, make up for, recompense, redeem	[0_0_0_0_0_0_NEW]
優	ユウ	やさ・しい、すぐ・れる	tenderness, excel, surpass, actor, superiority, gentleness	[0_0_0_0_0_0_NEW]
元	ゲン、ガン	もと	beginning, former time, origin	[0_0_0_0_0_0_NEW]
兄	ケイ、キョウ	あに	elder brother, big brother	[0_0_0_0_0_0_NEW]
充	ジュウ	あ・てる	allot, fill	[0_0_0_0_0_0_NEW]
兆	チョウ	きざ・す、きざ・し	portent, 10**12, trillion, sign, omen, symptoms	[0_0_0_0_0_0_NEW]
先	セン	さき	before, ahead, previous, future, precedence	[0_0_0_0_0_0_NEW]
光	コウ	ひか・る、ひかり	ray, light	[0_0_0_0_0_0_NEW]
克	コク		overcome, kindly, skillfully	[0_0_0_0_0_0_NEW]
免	メン	まぬか・れる	excuse, dismissal	[0_0_0_0_0_0_NEW]
児	ジ、ニ		newborn babe, child, young of animals	[0_0_0_0_0_0_NEW]
党	トウ		party, faction, clique	[0_0_0_0_0_0_NEW]
入	ニュウ	い・る、い・れる、はい・る	enter, insert	[0_0_0_0_0_0_NEW]
全	ゼン	まった・く	whole, entire, all, complete, fulfill	[0_0_0_0_0_0_NEW]
八	ハチ	や、やっ・つ、よう	eight	[0_0_0_0_0_0_NEW]
公	コウ	おおやけ	public, prince, official, governmental	[0_0_0_0_0_0_NEW]
六	ロク	む、む・つ、むっ・つ、むい	six	[0_0_0_0_0_0_NEW]
共	キョウ	とも	together, both, neither, all, and, alike, with	[0_0_0_0_0_0_NEW]
兵	ヘイ、ヒョウ		soldier, private, troops, army, warfare, strategy, tactics	[0_0_0_0_0_0_NEW]
å…·	ã'°		tool, utensil, means, possess, ingredients	[0_0_0_0_0_0_NEW]
典	テン		code, ceremony, law, rule	[0_0_0_0_0_0_NEW]
兼	ケン	か・ねる	concurrently, and	[0_0_0_0_0_0_NEW]
内	ナイ、ダイ	うち	inside, within, between, among, house, home	[0_0_0_0_0_0_NEW]
円	エン	まる・い	circle, yen, round	[0_0_0_0_0_0_NEW]
冊	サツ、サク		tome, no. of books, volume	[0_0_0_0_0_0_NEW]
再	サイ、サ	ふたた・び	again, twice, second time	[0_0_0_0_0_0_NEW]
冒	ボウ	おか・す	risk, face, defy, dare, damage, assume (a name)	[0_0_0_0_0_0_NEW]
冗	ジョウ		superfluous, uselessness	[0_0_0_0_0_0_NEW]
写	シャ	うつ・す、うつ・る	copy, be photographed, describe	[0_0_0_0_0_0_NEW]
å† 	カン	かんむり	crown, best, peerless	[0_0_0_0_0_0_NEW]
冬	トウ	ふゆ	winter	[0_0_0_0_0_0_NEW]
冷	レイ	つめ・たい、ひ・える、ひ・や、ひ・やす、ひ・やかす	cool, cold (beer, person), chill	[0_0_0_0_0_0_NEW]
准	ジュン		quasi-, semi-, associate	[0_0_0_0_0_0_NEW]
凍	トウ	こお・る、こご・える	frozen, congeal, refrigerate	[0_0_0_0_0_0_NEW]
凝	ギョウ	こ・る、こ・らす	congeal, freeze, stiff, be absorbed in	[0_0_0_0_0_0_NEW]
凡	ボン、ハン		mediocre	[0_0_0_0_0_0_NEW]
処	ショ		dispose, manage, deal with, sentence, condemn, act, behave	[0_0_0_0_0_0_NEW]
凶	キョウ		villain, evil, bad luck, disaster	[0_0_0_0_0_0_NEW]
凸	トツ	でこ	convex, beetle brow, uneven	[0_0_0_0_0_0_NEW]
凹	オウ	くぼむ、へこむ、ぼこ	concave, hollow, sunken	[0_0_0_0_0_0_NEW]
出	シュツ、スイ	で・る、だ・す	exit, leave	[0_0_0_0_0_0_NEW]
刀	トウ	かたな	sword, saber, knife	[0_0_0_0_0_0_NEW]
刃	ジン	は	blade, sword, edge	[0_0_0_0_0_0_NEW]
分	ブン、フン、ブ	わ・ける、わ・かれる、わ・かる、わ・かつ	part, minute of time, segment, share, degree, duty, rate	[0_0_0_0_0_0_NEW]
切	セツ、サイ	き・る、き・れる	cut, cutoff, be sharp	[0_0_0_0_0_0_NEW]
刈		か・る	reap, cut, clip, trim, prune	[0_0_0_0_0_0_NEW]
刊	カン		publish, carve, engrave	[0_0_0_0_0_0_NEW]
刑	ケイ		punish, penalty, sentence, punishment	[0_0_0_0_0_0_NEW]
列	レツ		file, row, rank, tier, column	[0_0_0_0_0_0_NEW]
初	ショ	はじ・め、はじ・めて、はつ、うい、そ・める	first time, beginning	[0_0_0_0_0_0_NEW]
判	ハン、バン		judgement, signature, stamp, seal	[0_0_0_0_0_0_NEW]
別	ベツ	わか・れる	separate, branch off, diverge, fork, another, extra, specially	[0_0_0_0_0_0_NEW]
利	リ	き・く	profit, advantage, benefit	[0_0_0_0_0_0_NEW]
到	トウ		arrival, proceed, reach, attain, result in	[0_0_0_0_0_0_NEW]
制	セイ		system, law, rule	[0_0_0_0_0_0_NEW]
刷	サツ	す・る	printing, print	[0_0_0_0_0_0_NEW]
券	ケン		ticket	[0_0_0_0_0_0_NEW]
刺	シ	さ・す、さ・さる	thorn, pierce, stab, prick, sting, calling card	[0_0_0_0_0_0_NEW]
刻	コク	きざ・む	engrave, cut fine, chop, hash, mince, time, carving	[0_0_0_0_0_0_NEW]
則	ソク		rule, follow, based on, model after	[0_0_0_0_0_0_NEW]
削	サク	けず・る	plane, sharpen, whittle, pare	[0_0_0_0_0_0_NEW]
前	ゼン	まえ	in front, before	[0_0_0_0_0_0_NEW]
剖	ボウ		divide	[0_0_0_0_0_0_NEW]
剛	ゴウ		sturdy, strength	[0_0_0_0_0_0_NEW]
剣	ケン	つるぎ	sabre, sword, blade, clock hand	[0_0_0_0_0_0_NEW]
剤	ザイ		dose, medicine, drug	[0_0_0_0_0_0_NEW]
副	フク		vice-, duplicate, copy	[0_0_0_0_0_0_NEW]
剰	ジョウ		surplus, besides	[0_0_0_0_0_0_NEW]
割	カツ	わ・る、わり、わ・れる、さ・く	proportion, comparatively, divide, cut, separate, split	[0_0_0_0_0_0_NEW]
創	ソウ		genesis, wound, injury, hurt, start, originate	[0_0_0_0_0_0_NEW]
劇	ゲキ		drama, play	[0_0_0_0_0_0_NEW]
力	リョク、リキ	ちから	power, strong, strain, bear up, exert	[0_0_0_0_0_0_NEW]
功	コウ、ク		achievement, merits, success, honor, credit	[0_0_0_0_0_0_NEW]
åŠ 	ã'«	くわ・える、くわ・わる	add, addition, increase, join, include, Canada	[0_0_0_0_0_0_NEW]
劣	レツ	おと・る	inferiority, be inferior to, be worse	[0_0_0_0_0_0_NEW]
助	ジョ	たす・ける、たす・かる、すけ	help, rescue, assist	[0_0_0_0_0_0_NEW]
努	ド	つと・める	to work	[0_0_0_0_0_0_NEW]
励	レイ	はげ・む、はげ・ます	encourage, be diligent, inspire, strive	[0_0_0_0_0_0_NEW]
労	ロウ		labor, thank for, reward for, toil, trouble	[0_0_0_0_0_0_NEW]
効	コウ	き・く	merit, efficacy, efficiency, benefit	[0_0_0_0_0_0_NEW]
劾	ガイ		censure, criminal investigation	[0_0_0_0_0_0_NEW]
勅	チョク		imperial order	[0_0_0_0_0_0_NEW]
勇	ユウ	いさ・む	courage, cheer up, be in high spirits, bravery, heroism	[0_0_0_0_0_0_NEW]
勉	ベン		exertion	[0_0_0_0_0_0_NEW]
動	ドウ	うご・く、うご・かす	to move	[0_0_0_0_0_0_NEW]
勘	カン		intuition, perception	[0_0_0_0_0_0_NEW]
務	ム	つと・める	task, duties	[0_0_0_0_0_0_NEW]
勝	ショウ	か・つ、まさ・る	victory, win, prevail, excel	[0_0_0_0_0_0_NEW]
募	ボ	つの・る	recruit, campaign, gather (contributions), enlist, grow violent	[0_0_0_0_0_0_NEW]
勢	セイ	いきお・い	forces, energy, military strength	[0_0_0_0_0_0_NEW]
勤	キン、ゴン	つと・める、つと・まる	diligence, become employed, serve	[0_0_0_0_0_0_NEW]
勧	カン	すす・める	persuade, recommend, advise, encourage, offer	[0_0_0_0_0_0_NEW]
勲	クン		meritorious deed, merit	[0_0_0_0_0_0_NEW]
勺	シャク		ladle, one tenth of a go, dip	[0_0_0_0_0_0_NEW]
匁		もんめ	monme, 3.75 grams, (kokuji)	[0_0_0_0_0_0_NEW]
包	ホウ	つつ・む	wrap, pack up, cover, conceal	[0_0_0_0_0_0_NEW]
化	カ、ケ	ば・ける、ば・かす	change, take the form of, influence, enchant, delude, -ization	[0_0_0_0_0_0_NEW]
北	ホク	きた	north	[0_0_0_0_0_0_NEW]
åŒ 	ショウ		artisan, workman, carpenter	[0_0_0_0_0_0_NEW]
匹	ヒツ	ひき	equal, head, no. of animals, roll of cloth	[0_0_0_0_0_0_NEW]
区	ク		ward, district	[0_0_0_0_0_0_NEW]
医	イ		doctor, medicine	[0_0_0_0_0_0_NEW]
匿	トク		hide, shelter, shield	[0_0_0_0_0_0_NEW]
十	ジュウ、ジッ	とお、と	ten	[0_0_0_0_0_0_NEW]
千	セン	ち	thousand	[0_0_0_0_0_0_NEW]
升	ショウ	ます	measuring box, 1.8 liter	[0_0_0_0_0_0_NEW]
午	ゴ		noon	[0_0_0_0_0_0_NEW]
半	ハン	なか・ば	half, middle, odd number, semi-, part-	[0_0_0_0_0_0_NEW]
卑	ヒ	いや・しい、いや・しむ、いや・しめる	lowly, base, vile, vulgar	[0_0_0_0_0_0_NEW]
卒	ソツ		graduate, soldier, private, die	[0_0_0_0_0_0_NEW]
卓	タク		eminent, table, desk, high	[0_0_0_0_0_0_NEW]
協	キョウ		co-, cooperation	[0_0_0_0_0_0_NEW]
南	ナン、ナ	みなみ	south	[0_0_0_0_0_0_NEW]
単	タン		simple, one, single, merely	[0_0_0_0_0_0_NEW]
博	ハク、バク		Dr., command, esteem, win acclaim, Ph.D., exposition, fair	[0_0_0_0_0_0_NEW]
å 	セン	し・める、うらな・う	fortune telling, divine, forecast, occupy, hold, have, get, take	[0_0_0_0_0_0_NEW]
印	イン	しるし	stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India	[0_0_0_0_0_0_NEW]
危	キ	あぶ・ない、あや・うい、あや・ぶむ	dangerous, fear, uneasy	[0_0_0_0_0_0_NEW]
即	ソク		instant, namely, as is, conform, agree, adapt	[0_0_0_0_0_0_NEW]
却	キャク		instead, on the contrary, rather	[0_0_0_0_0_0_NEW]
卵	ラン	たまご	egg, ovum, spawn, roe	[0_0_0_0_0_0_NEW]
卸		おろ・す、おろし	wholesale	[0_0_0_0_0_0_NEW]
厄	ヤク		unlucky, misfortune, bad luck, disaster	[0_0_0_0_0_0_NEW]
厘	リン		rin, 1/10sen, 1/10bu	[0_0_0_0_0_0_NEW]
厚	コウ	あつ・い	thick, heavy, rich, kind, cordial, brazen, shameless	[0_0_0_0_0_0_NEW]
原	ゲン	はら	meadow, original, primitive, field, plain, prairie, tundra, wilderness	[0_0_0_0_0_0_NEW]
厳	ゲン、ゴン	おごそ・か、きび・しい	stern, strictness, severity, rigidity, solemn	[0_0_0_0_0_0_NEW]
去	キョ、コ	さ・る	gone, past, quit, leave, elapse, eliminate, divorce	[0_0_0_0_0_0_NEW]
参	サン	まい・る	nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love	[0_0_0_0_0_0_NEW]
又		また	or again, furthermore, on the other hand	[0_0_0_0_0_0_NEW]
及	キュウ	およ・ぶ、およ・び、およ・ぼす	reach out, exert, exercise, cause	[0_0_0_0_0_0_NEW]
友	ユウ	とも	friend	[0_0_0_0_0_0_NEW]
双	ソウ	ふた	pair, set, comparison, no. of pairs	[0_0_0_0_0_0_NEW]
反	ハン、ホン、タン	そ・る、そ・らす	anti-	[0_0_0_0_0_0_NEW]
収	シュウ	おさ・める、おさ・まる	income, obtain, reap, pay, supply, store	[0_0_0_0_0_0_NEW]
叔	シュク		uncle, youth	[0_0_0_0_0_0_NEW]
取	シュ	と・る	take, fetch, take up	[0_0_0_0_0_0_NEW]
受	ジュ	う・ける、う・かる	accept, undergo, answer (phone), take, get, catch, receive	[0_0_0_0_0_0_NEW]
叙	ジョ		confer, relate, narrate, describe	[0_0_0_0_0_0_NEW]
口	コウ、ク	くち	mouth	[0_0_0_0_0_0_NEW]
古	コ	ふる・い、ふる・す	old	[0_0_0_0_0_0_NEW]
句	く		phrase, clause, sentence, passage, paragraph	[0_0_0_0_0_0_NEW]
叫	キョウ	さけ・ぶ	shout, exclaim, yell	[0_0_0_0_0_0_NEW]
召	ショウ	め・す	seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)	[0_0_0_0_0_0_NEW]
可	カ		can, passable, mustn't, should not, do not	[0_0_0_0_0_0_NEW]
台	ダイ、タイ		pedestal, a stand, counter for machines & vehicles	[0_0_0_0_0_0_NEW]
史	シ		history, chronicle	[0_0_0_0_0_0_NEW]
右	ウ、ユウ	みぎ	right	[0_0_0_0_0_0_NEW]
号	ゴウ		nickname, number, item, title, pseudonym, name, call	[0_0_0_0_0_0_NEW]
司	シ		director, official, govt office, rule, administer	[0_0_0_0_0_0_NEW]
各	カク	おのおの	each, every, either	[0_0_0_0_0_0_NEW]
合	ゴウ、ガッ、カッ	あ・う、あ・わす、あ・わせる	fit, suit, join, 0.1	[0_0_0_0_0_0_NEW]
吉	キチ、キツ	よし	good luck, joy, congratulations	[0_0_0_0_0_0_NEW]
同	ドウ	おな・じ	same, agree, equal	[0_0_0_0_0_0_NEW]
名	メイ、ミョウ	な	name, noted, distinguished, reputation	[0_0_0_0_0_0_NEW]
后	コウ		empress, queen, after, behind, back, later	[0_0_0_0_0_0_NEW]
吏	リ		officer, an official	[0_0_0_0_0_0_NEW]
吐	ト	は・く	spit, vomit, belch, confess, tell (lies)	[0_0_0_0_0_0_NEW]
向	コウ	む・く、む・ける、む・かう、む・こう	yonder, facing, beyond, confront, defy, tend toward, approach	[0_0_0_0_0_0_NEW]
君	クン	きみ	old boy, name-suffix	[0_0_0_0_0_0_NEW]
吟	ギン		versify, singing, recital	[0_0_0_0_0_0_NEW]
否	ヒ	いな	negate, no, noes, refuse, decline, deny	[0_0_0_0_0_0_NEW]
含	ガン	ふく・む、ふく・める	include, bear in mind, understand, cherish	[0_0_0_0_0_0_NEW]
吸	キュウ	す・う	suck, imbibe, inhale, sip	[0_0_0_0_0_0_NEW]
吹	スイ	ふ・く	blow, breathe, puff, emit, smoke	[0_0_0_0_0_0_NEW]
呈	テイ		display, offer, present, send, exhibit	[0_0_0_0_0_0_NEW]
呉	ゴ		give, do something for	[0_0_0_0_0_0_NEW]
告	コク	つ・げる	revelation, tell, inform, announce	[0_0_0_0_0_0_NEW]
周	シュウ	まわ・り	circumference, circuit, lap	[0_0_0_0_0_0_NEW]
味	ミ	あじ、あじ・わう	flavor, taste	[0_0_0_0_0_0_NEW]
呼	コ	よ・ぶ	call, call out to, invite	[0_0_0_0_0_0_NEW]
命	メイ、ミョウ	いのち	fate, command, decree, destiny, life, appoint	[0_0_0_0_0_0_NEW]
和	ワ、オ	やわ・らぐ、やわ・らげる、なご・む、なご・やか	harmony, Japanese style, peace, soften, Japan	[0_0_0_0_0_0_NEW]
咲		さ・く	blossom, bloom	[0_0_0_0_0_0_NEW]
哀	アイ	あわ・れ、あわ・れむ	pathetic, grief, sorrow, pathos, pity, sympathize	[0_0_0_0_0_0_NEW]
品	ヒン	しな	goods, refinement, dignity, article	[0_0_0_0_0_0_NEW]
員	イン		employee, member, number, the one in charge	[0_0_0_0_0_0_NEW]
哲	テツ		philosophy, clear	[0_0_0_0_0_0_NEW]
唆	サ	そそのか・す	tempt, seduce, instigate, promote	[0_0_0_0_0_0_NEW]
唇	シン	くちびる	lips	[0_0_0_0_0_0_NEW]
唐	トウ	から	T'ang, China	[0_0_0_0_0_0_NEW]
唯	ユイ、イ		solely, only, merely, simply	[0_0_0_0_0_0_NEW]
唱	ショウ	とな・える	chant, recite, call upon, yell	[0_0_0_0_0_0_NEW]
